feature_group,mean_abs_shap,mean_signed_shap,median_abs_shap,max_abs_shap,encoded_features,rank,protocol,model,test_name,sample_size
state,3.314966080820348,0.5993051502105375,2.6689888674453637,6.981860416074723,22,1,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
duration,1.0705876209617553,-0.14430460922294655,0.6692798247930112,2.5728156057074054,1,2,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
proto,1.0678530252668283,0.2848081001172638,0.6699895005636953,5.808434400175967,133,3,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
pkts_per_sec,0.5318868909106113,0.10845190884971508,0.3008499584406902,2.7242299113659745,1,4,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
bytes_per_sec,0.4999837111713931,0.17648071569108956,0.42187402012338127,1.9730075699641214,1,5,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
service,0.4635107122364604,0.0059258649262841,0.33108727798847815,2.1474831938395944,17,6,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
total_bytes,0.41671206132109345,0.20004829488016238,0.328454503949332,1.1658758664925668,1,7,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
src_pkts,0.37321027290713127,0.07115797982823678,0.2242191588993599,2.3582793787921355,1,8,E5_Pooled_to_ToN,LightGBM,ToN-IoT test,5000
state,1.844170342337666,-0.571546251020109,1.6952455051213045,4.972884474061701,22,1,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
duration,1.3374250136147627,-0.07651691813629449,1.3061168606826494,2.416765832176998,1,2,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
proto,0.9967636233531068,-0.11632371387393856,0.5848604505462953,9.86686418998609,133,3,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
service,0.727901589605338,-0.15354620008256256,0.7737077138872077,3.5277654771545666,17,4,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
src_bytes_per_pkt,0.539368220505896,-0.07409866430652308,0.4694725961656144,1.7944604989688715,1,5,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
src_bytes,0.42046701669507514,-0.2536732002108631,0.35253132069782545,1.97908460191045,1,6,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
pkts_per_sec,0.4203961581737259,-0.02221626465762549,0.2589297710695746,2.5066488350194427,1,7,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
bytes_per_sec,0.4156667735817875,-0.12643644244553562,0.22412637496908075,2.2179997195153285,1,8,E5_Pooled_to_UNSW,LightGBM,UNSW test,5000
