setting,model_group,model,test_name,accuracy,precision,recall,f1,roc_auc,mcc,fpr,fnr
E1_UNSW_within,Best baseline,XGBoost,UNSW test,0.916132,0.916752,0.932344,0.924482,0.980106,0.830353,0.10373,0.067656
E1_UNSW_within,Residual MLP,Residual MLP,UNSW test,0.853119,0.802409,0.972779,0.879418,0.974105,0.717251,0.293486,0.027221
E2_ToN_within,Best baseline,LightGBM,ToN-IoT test,0.996167,0.998852,0.996227,0.997538,0.99971,0.988913,0.004044,0.003773
E2_ToN_within,Residual MLP,Residual MLP,ToN-IoT test,0.995222,0.997069,0.9968,0.996934,0.999412,0.986117,0.010347,0.0032
E3_UNSW_to_ToN,Best baseline,XGBoost,ToN-IoT test,0.39958,0.65203,0.492202,0.560954,0.133771,-0.366778,0.92745,0.507798
E3_UNSW_to_ToN,Residual MLP,Residual MLP,ToN-IoT test,0.346843,0.685909,0.298582,0.416053,0.211682,-0.16133,0.482755,0.701418
E3_UNSW_to_ToN,DANN,DANN,ToN-IoT test,0.677359,0.755013,0.86745,0.807336,0.35131,-0.171201,0.993815,0.13255
E4_ToN_to_UNSW,Best baseline,LightGBM,UNSW test,0.373743,0.445907,0.566355,0.498965,0.293473,-0.320978,0.862243,0.433645
E4_ToN_to_UNSW,Residual MLP,Residual MLP,UNSW test,0.533717,0.546966,0.89171,0.678033,0.518654,-0.021631,0.904892,0.10829
E4_ToN_to_UNSW,DANN,DANN,UNSW test,0.647719,0.616886,0.950476,0.748181,0.571063,0.31517,0.723216,0.049524
E5_Pooled_to_UNSW,Best baseline,LightGBM,UNSW test,0.922995,0.935179,0.924204,0.929659,0.980942,0.844673,0.078486,0.075796
E5_Pooled_to_UNSW,Residual MLP,Residual MLP,UNSW test,0.850119,0.796488,0.977566,0.877785,0.973193,0.713644,0.306027,0.022434
E5_Pooled_to_UNSW,DANN,DANN,UNSW test,0.819001,0.756967,0.988706,0.857454,0.968163,0.66388,0.388919,0.011294
E5_Pooled_to_ToN,Best baseline,Random Forest,ToN-IoT test,0.995747,0.998043,0.996497,0.997269,0.999711,0.987668,0.006898,0.003503
E5_Pooled_to_ToN,Residual MLP,Residual MLP,ToN-IoT test,0.994802,0.996967,0.996362,0.996664,0.999251,0.984903,0.010704,0.003638
E5_Pooled_to_ToN,DANN,DANN,ToN-IoT test,0.993674,0.996058,0.995823,0.995941,0.998997,0.981615,0.013915,0.004177
